City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Mount Gambier,AU,2021-08-06 20:20:45,-37.8333,140.7667,49.14,87,100,7.02
209,Coracora,PE,2021-08-06 20:20:45,-15.0333,-73.7833,59.76,40,52,11.95
210,Vila Velha,BR,2021-08-06 20:20:45,-20.3297,-40.2925,74.97,58,0,10.36
211,Luderitz,NA,2021-08-06 20:20:46,-26.6481,15.1594,58.26,65,4,5.7
212,Prieska,ZA,2021-08-06 20:20:46,-29.6641,22.7474,51.98,32,12,3.09
213,Severo-Kurilsk,RU,2021-08-06 20:20:46,50.6789,156.125,53.89,81,100,8.93
214,Nuuk,GL,2021-08-06 20:20:46,64.1835,-51.7216,48.81,71,75,13.8
215,George,ZA,2021-08-06 20:16:51,-33.963,22.4617,54.95,94,0,3.44
216,Uvira,CD,2021-08-06 20:16:06,-3.4067,29.1458,77.34,68,98,1.16
217,Husavik,IS,2021-08-06 20:20:47,66.0449,-17.3389,55.31,77,3,6.76
218,Iacu,BR,2021-08-06 20:20:47,-12.7672,-40.2117,74.23,64,85,10.47
219,Namibe,AO,2021-08-06 20:20:47,-15.1961,12.1522,68.31,87,43,0.56
220,Vangaindrano,MG,2021-08-06 20:20:48,-23.35,47.6,62.53,87,21,3.15
221,Wollongong,AU,2021-08-06 20:20:00,-34.4333,150.8833,49.24,79,0,10.09
222,Dukat,RU,2021-08-06 20:20:48,62.55,155.55,43.05,94,100,5.37
223,Padang,ID,2021-08-06 20:20:48,-0.9492,100.3543,78.26,83,100,3.0
224,Broome,US,2021-08-06 20:20:49,42.2506,-75.833,86.97,53,40,1.99
225,Clonakilty,IE,2021-08-06 20:20:49,51.6231,-8.8706,56.41,91,100,21.12
226,Lodja,CD,2021-08-06 20:20:49,-3.4833,23.4333,76.68,46,9,1.43
227,Tias,ES,2021-08-06 20:20:49,28.9611,-13.645,73.15,83,75,11.5
228,Dolores,AR,2021-08-06 20:20:50,-36.3132,-57.6792,67.46,62,9,8.7
229,Cravo Norte,CO,2021-08-06 20:20:50,6.3017,-70.2041,88.41,49,47,8.57
230,Fare,PF,2021-08-06 20:20:50,-16.7,-151.0167,78.26,71,6,9.89
231,Kosamba,IN,2021-08-06 20:20:51,21.4833,72.95,80.55,84,99,8.75
232,Thunder Bay,CA,2021-08-06 20:19:00,48.4001,-89.3168,73.29,67,75,5.75
