City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
156,Sajanan,TN,2021-08-08 18:15:50,37.0573,9.2426,84.47,47,84,9.84,broken clouds
157,Puerto Ayora,EC,2021-08-08 18:15:50,-0.7393,-90.3518,75.16,85,45,10.0,scattered clouds
158,Geraldton,AU,2021-08-08 18:15:50,-28.7667,114.6,64.81,82,40,16.11,scattered clouds
159,Montepuez,MZ,2021-08-08 18:15:51,-13.1256,38.9997,70.92,57,53,7.25,broken clouds
160,Ambilobe,MG,2021-08-08 18:15:51,-13.2,49.05,71.2,84,79,3.0,light rain
161,Rocha,UY,2021-08-08 18:12:27,-34.4833,-54.3333,59.22,91,98,10.85,overcast clouds
162,Tauranga,NZ,2021-08-08 18:15:51,-37.6861,176.1667,46.85,57,14,5.01,few clouds
163,Kaeo,NZ,2021-08-08 18:15:51,-35.1,173.7833,44.33,96,91,12.39,overcast clouds
164,Port Alfred,ZA,2021-08-08 18:15:32,-33.5906,26.891,63.99,63,66,17.07,broken clouds
165,Rio Gallegos,AR,2021-08-08 18:15:11,-51.6226,-69.2181,48.25,61,0,28.77,clear sky
166,Proletariy,RU,2021-08-08 18:15:52,58.4342,31.7046,65.39,88,88,5.06,overcast clouds
167,Lahad Datu,MY,2021-08-08 18:15:52,5.0268,118.327,77.34,89,99,1.97,overcast clouds
168,Rawson,AR,2021-08-08 18:15:52,-43.3002,-65.1023,51.67,34,0,6.98,clear sky
169,Nouadhibou,MR,2021-08-08 18:15:53,20.931,-17.0347,73.38,78,0,19.57,clear sky
170,Port Elizabeth,ZA,2021-08-08 18:14:57,-33.918,25.5701,60.1,81,88,15.12,overcast clouds
171,Planaltina,BR,2021-08-08 18:15:53,-15.4528,-47.6142,77.29,27,0,7.4,clear sky
172,Orchard Homes,US,2021-08-08 18:15:53,46.8633,-114.0484,60.6,92,90,1.99,mist
173,Byron Bay,AU,2021-08-08 18:15:54,-28.65,153.6167,58.95,70,100,9.13,overcast clouds
174,Fukue,JP,2021-08-08 18:15:54,32.6881,128.8419,80.04,83,87,26.24,overcast clouds
175,Santiago Tuxtla,MX,2021-08-08 18:15:54,18.4667,-95.3,85.32,68,80,3.87,broken clouds
176,Minbu,MM,2021-08-08 18:15:54,20.1833,94.8833,79.41,82,94,6.22,overcast clouds
177,Nuuk,GL,2021-08-08 18:15:55,64.1835,-51.7216,45.21,87,75,9.22,broken clouds
178,Pemangkat,ID,2021-08-08 18:15:55,1.1667,108.9667,78.6,86,98,4.76,overcast clouds
179,Cabo San Lucas,MX,2021-08-08 18:15:13,22.8909,-109.9124,94.51,61,20,3.0,few clouds
180,Harrison,US,2021-08-08 18:12:27,30.4091,-89.0436,96.31,65,40,6.91,scattered clouds
181,Talnakh,RU,2021-08-08 18:15:17,69.4865,88.3972,59.34,56,0,2.55,clear sky
182,Ostrovnoy,RU,2021-08-08 18:15:56,68.0531,39.5131,53.92,73,32,10.92,scattered clouds
183,Flin Flon,CA,2021-08-08 18:15:07,54.7682,-101.865,61.3,87,100,4.14,overcast clouds
184,Znamenskoye,RU,2021-08-08 18:15:56,57.1281,73.8282,62.96,94,96,4.97,overcast clouds
185,Kuusankoski,FI,2021-08-08 18:15:56,60.907,26.6244,63.12,88,0,4.61,clear sky
186,Kailua,US,2021-08-08 18:15:56,21.4022,-157.7394,80.58,68,75,8.05,broken clouds
187,Fuling,CN,2021-08-08 18:15:57,29.7022,107.3919,77.49,97,100,3.38,overcast clouds
188,Moron,AR,2021-08-08 18:15:38,-34.6534,-58.6198,51.49,85,92,13.0,light rain
189,Lokossa,BJ,2021-08-08 18:15:57,6.6387,1.7167,75.31,90,100,8.52,moderate rain
190,Hualmay,PE,2021-08-08 18:15:57,-11.0964,-77.6139,66.58,72,61,12.06,broken clouds
191,Bethel,US,2021-08-08 18:15:58,41.3712,-73.414,83.41,61,20,6.91,few clouds
192,Vanavara,RU,2021-08-08 18:15:58,60.34,102.2797,55.83,61,71,4.56,broken clouds
193,Saskylakh,RU,2021-08-08 18:12:12,71.9167,114.0833,60.75,56,97,9.1,overcast clouds
194,Niquero,CU,2021-08-08 18:15:58,20.0431,-77.5828,84.69,70,65,2.98,broken clouds
195,Komsomolskiy,UZ,2021-08-08 18:15:58,40.4272,71.7189,83.12,36,2,4.61,clear sky
196,Wanlaweyn,SO,2021-08-08 18:15:59,2.6185,44.8938,76.55,78,51,18.34,broken clouds
197,Marzuq,YE,2021-08-08 18:15:59,14.4,46.4667,88.48,27,82,12.26,broken clouds
198,Doha,QA,2021-08-08 18:14:38,25.2867,51.5333,98.91,75,0,6.91,clear sky
199,Lagos,NG,2021-08-08 18:15:11,6.5833,3.75,74.73,92,100,6.71,light rain
200,Ancud,CL,2021-08-08 18:15:32,-41.8697,-73.8203,54.43,60,2,4.74,clear sky
